,id,coco_url,caption_0,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6
2357,273198,http://images.cocodataset.org/val2017/000000273198.jpg,Muddy water is coming out from a water hose.,A man opening a fire hydrant spewing out rusty water into a street.,"a fire hydrant that has dirty, brown water inside",A man opens a fire hydrant and brown colored water is flowing out.,A man opening a fire hydrant on a city side walk.,,
2358,273232,http://images.cocodataset.org/val2017/000000273232.jpg,a man that is in some water with a kite,A windsurfer and a dog walk along an ocean beach.,A man walking up the beach after finishing parasailing.,A person with a dog in the water.,A man and his dog are coming out of the water,,
2359,273420,http://images.cocodataset.org/val2017/000000273420.jpg,A room with a man in it talking on his phone.,A man on a cell phone with some tools on a bed nearby.,a man on his phone in some kind of room,A man on a cell phone standing next to a bed.,A man in his apartment bedroom answering his cell phone.,,
2360,273493,http://images.cocodataset.org/val2017/000000273493.jpg,Two young men playing a game of tennis.,Two men playing a game of tennis on a court.,People playing tennis on a court surrounded by green hedges.,tHERE ARE TWO MEN PLAYING TENNIS ON THE TENNIS COURT,two people playing tennis with rackets on a grass court,,
2361,273551,http://images.cocodataset.org/val2017/000000273551.jpg,A row of motorcycles parked on the side of a road.,A line of motorcycles parked in front of a row of flags.,some motorcycles are parked grass trees and flags,Several motorcycles that are parked on the side of the street.,a couple of motorcycles are lined up on the road,,
2362,273617,http://images.cocodataset.org/val2017/000000273617.jpg,A stop sign and lighted lamp post along a street at dusk.,a street light is on at the top of a hilll,"An intersection with a street sign, traffic sign and a street light. ",A city street at dusk with a street light that is on and a stop sign across the street.,A light shining on the street at night time,,
2363,273642,http://images.cocodataset.org/val2017/000000273642.jpg,The cog is getting cozy with the remote control.,A dog is laying down with the remote control.,a dog is laying with a remote controller,A dog laying on its side with a remote control under its paw.,A dog lies down holding a remote control in its paws.,,
2364,273711,http://images.cocodataset.org/val2017/000000273711.jpg,"A table topped with plates, bowls and containers of food.",Many containers of food are on the table.,A table covered in different kinds of baked goods and fruit.,there are many different types of food gathered on the table,"A table set up as a buffet with fruits, snacks and plates.",,
2365,273712,http://images.cocodataset.org/val2017/000000273712.jpg,A double door refrigerator is standing in a room.,Large black two door refrigerator in an apartment under renovation.,a refrigerator in a room next to a wall,A large red fridge is sitting on the red carpet. ,A black refrigerator in a newly decorated house.,,
2366,273715,http://images.cocodataset.org/val2017/000000273715.jpg,The skier is happy to have won the race.,three people are standing under the arch for a ski race,A person on skis standing at a finish line.,a skier is standing in the snow under a blue thing,A couple of people with some skis in the snow.,,
2367,273760,http://images.cocodataset.org/val2017/000000273760.jpg,A man is dressed in blue playing tennis.,a man on a field with a tennis racket in his hand,A man standing on top of a tennis court holding a racquet.,a man that has a tennis racket in his hand,a tennis player on a court with a racket,,
2368,274066,http://images.cocodataset.org/val2017/000000274066.jpg,Children are riding surfboards close to the shore.,A woman and children surfing in the ocean.,A group of people swimming in the ocean with a surfboard.,An instructor is teaching the little girl how to surf.,People inside the water at the beach with their surf boards,,
2369,274219,http://images.cocodataset.org/val2017/000000274219.jpg,"Talk about a bad hair day, his is frightful.",A man poses for a formal portrait in an historic photo.,A vintage photo of a man with curly hair and a mustache.,An older man with a bow tie happily poses for a picture.,A man wearing a jacket and  a bow tie.,,
2370,274272,http://images.cocodataset.org/val2017/000000274272.jpg,A large red bus driving in heavy traffic.,a public transit bus with traffic lights ,A bus driving in the middle of traffic.,A bus traveling on a road next to cars with building in background.,A large bus driving down a city street.,,
2371,274411,http://images.cocodataset.org/val2017/000000274411.jpg,woman in tennis garb preparing to serve tennis ball,A young woman on a tennis court preparing to serve the ball. ,A girl is playing tennis and is going to pitch the ball. ,A little girl on a tennis court that has a racquet.,A tennis player getting ready to serve the ball ,,
2372,274460,http://images.cocodataset.org/val2017/000000274460.jpg,a bunch of people sitting on a beach ,Groups of competitive surfers sitting with their surfboards on the beach.,a group of people on a beach with buildings in the background and surfboards in the  foreground,A group of young people gather with surfboards on a tropical beach.,A group of people on a beach with surf boards.,,
2373,274687,http://images.cocodataset.org/val2017/000000274687.jpg,A bicycle is standing next to a bed in a room.,a black bike rests against a brown bed,A bicycle leaning against a bed in a bedroom.,A black road bicycle leaning against a bed.,a black bicycle and a brown bed and a chair,,
2374,274708,http://images.cocodataset.org/val2017/000000274708.jpg,A group of people on the steep slope of a mountain,a number of people riding skis on a snowy surface ,Three skiers skiing down a steep snowy slope.,Several people in skis standing on a snow covered incline.,Several skiers are on the side of a steep slope.,,
2375,275058,http://images.cocodataset.org/val2017/000000275058.jpg,A person on a surfboard high up over the water.,A man holds on tight as he rides across the water.,A windsurfer glides across choppy seas in the glistening sun. ,A person holds onto rope above water on a board.,a kite surfer is flying in the air over some water,,
2376,275198,http://images.cocodataset.org/val2017/000000275198.jpg,A family having lunch in their backyard in the rain.,A group of people holding umbrellas eating a meal outdoors.,A woman standing next to a table covered with plates of mostly eaten food.,A group of people around a metal table with umbrellas.,A family holding umbrellas at a backyard barbecue.,,
2377,275392,http://images.cocodataset.org/val2017/000000275392.jpg,A smiling woman is on a brown horse.,Woman sitting ontop of a large brown and white horse.,A woman on a horse smiling in a green grass.,A person riding a brown horse with blonde hair in a green field.,The child sits on the horse in the pasture.,,
2378,275727,http://images.cocodataset.org/val2017/000000275727.jpg,Yellow and grey train near platform at railway station.,a yellow and gray train some tracks and trees,A train engine carrying carts down a track into a station.,A freight train riding on tracks through a forested area.,A train is moving along the tracks past a traffic signal.,,
2379,275749,http://images.cocodataset.org/val2017/000000275749.jpg,small gathering of people at a friends house for drinks,Group of people standing around computer monitors. ,A group of people standing in a room.,A group of people are socializing with each other.,A lot of people that are in a room together.,,
2380,275791,http://images.cocodataset.org/val2017/000000275791.jpg,A blue and yellow train is traveling down the tracks near some water and boats.,A large trains travels past a river that contains several different boats,Yellow and blue train moving along its tracks near a river.,A large long train on a steel track.,Covered boats are in the water by the shore.,,
2381,276018,http://images.cocodataset.org/val2017/000000276018.jpg,a bunch of kids walking through some grass,Kids walking while holding their stuffed animals. ,A group of children carrying stuffed animals walks across the grass. ,A group of children are holding various stuffed animals and dolls.,A group of kids holding teddy bears and looking happy.,,
2382,276024,http://images.cocodataset.org/val2017/000000276024.jpg,Two men guiding cows while behind on horses. ,Two people on horseback herding cattle through the woods ,Two men on horses drive cattle down the road.,Men riding on horses and with other ones.,a few people that are riding some horses ,,
2383,276055,http://images.cocodataset.org/val2017/000000276055.jpg,A woman holding a drink and a large carrot,A woman holding up a large carrot in a backyard.,a women that has a carrot in her hand,A young woman holding a freshly pulled carrot up in the air.,A woman holds a carrot in her right hand with a beverage in the other.,,
2384,276284,http://images.cocodataset.org/val2017/000000276284.jpg,A motorcycle in a parking lot at night.,A lone motorcycle is parked in the lighted parking lot.,A lone motorcycle parked in parking space at night.,a motorcycle in a parking lot with a sky background,A motorcycle is parked in a parking lot.,,
2385,276285,http://images.cocodataset.org/val2017/000000276285.jpg,A table with a plate of pizza and a plate of shrimp on it,pizza an other food on a table at a restaurant,A small pizza in the middle of a table.,A pizza and salad is sitting on a table.,Someone is sitting at a table with pizza and other food on it.,,
2386,276434,http://images.cocodataset.org/val2017/000000276434.jpg,A couple cuts into a wedding cake with grapes and oranges. ,Bride and grooms arms cutting the wedding cake with fruit on top.,Two hands cut into a cake with fruit on top of it. ,A bridge and groom cutting their wedding cake that has fruit on top.,a person that is cutting a cake on a tasble,,
2387,276707,http://images.cocodataset.org/val2017/000000276707.jpg,A street sign prohibiting vehicles in front of a store.,Shopping district with a banned sign for anything with wheels.,A close-up of a street sign with small shops in the background. ,A sign that is sitting on a wooden pole.,A red and white traffic sign sitting in front of buildings.,,
2388,276720,http://images.cocodataset.org/val2017/000000276720.jpg,A stone building with a blue door on it,A intersection and a narrow street lined with stone buildings.,A small suburb area with a few parked red vans. ,A house lined road with red trucks on the side of the street,An empty street with brick buildings and cars.,,
2389,276804,http://images.cocodataset.org/val2017/000000276804.jpg,Baseball players engaged in a baseball game. ,Players are in the middle of a Baseball game with Old Glory present in the background. ,A small lit baseball field at night with people playing baseball.,A person stands at the base ready to hit a ball.,A baseball player standing next to home base on a baseball field.,,
2390,276921,http://images.cocodataset.org/val2017/000000276921.jpg,Two stuffed teddy bears hanging from a rear view mirror.,A close up of two teddy bears hanging from two strings on a hook.,Two teddy bears hang from the inside of a car.,Two teddy ears are hanging in a window.,a couple of stuffed animals hang from a car mirror ,,
2391,277005,http://images.cocodataset.org/val2017/000000277005.jpg,Several people are leaving a bus station with a bus next to it as a person rides by on a bicycle,A man crossing the street in front of a bus stop.,Several people walk out of a bus onto the street. ,A young man walking across a street at a crosswalk.,A man crossing the street near a bus stop,,
2392,277020,http://images.cocodataset.org/val2017/000000277020.jpg,A man sitting at a bar next to another man near a waitress.,Man reaches over for his plate at a restaurant counter. ,Asian businessman in a restaurant with one of them being served. ,A man sitting at a bar being served by a woman,A main sitting at a table being served,,
2393,277051,http://images.cocodataset.org/val2017/000000277051.jpg,Two birds perched on a table near a plate of food.,two gray white and brown birds a knife and a red table,Two sparrows sit n a table with a red tablecloth at an outdoor cafe. ,two little sparrows standing on a table by a knife,A couple of small birds standing on top of a table.,,
2394,277197,http://images.cocodataset.org/val2017/000000277197.jpg,A large living room area features a white couch and a glass table.,The huge living room is furnished with expensive things.,"A living room with colored windows, sofas and chairs. ",A large formal living room with stained glass windows.,A very large and very posh living room.,,
2395,277584,http://images.cocodataset.org/val2017/000000277584.jpg,A cat looking in a door from the outside ,A cat as sitting outside while looking through a window.,A cat sitting outside a glass window. ,a cat that is looking into a window,A cat outside looking through a window. ,,
2396,277689,http://images.cocodataset.org/val2017/000000277689.jpg,"A small two tier wedding cake is embellished with red flowers, on a table with stemware artfully arranged. ",clear glasses on a table with a white cake with red flowers on it,A fancy desert on a table with a number of drinking glasses.,Lavishly decorated cake and empty drinking glasses await their tropical guests,a cake near many glasses and cups wit ha sky background,,
2397,278006,http://images.cocodataset.org/val2017/000000278006.jpg,A grey house sitting between a couple of other houses.,A couple of green street signs sitting in front of a gray building.,There are a few street signs next to a house.,"A street sign marks the intersection of 3 streets, while three housed stand in the background.","Street signs in front of a hree-story grey frame house with bay windows, dormers, and a porch.",,
2398,278353,http://images.cocodataset.org/val2017/000000278353.jpg,A sheep standing on the grass in front of a fence,A sheep rubbing its back under a fence post.,A sheep that is standing under a wooden plank from a fence.,A small sheep is standing under a wooden fence post.,A sheep with short hair stands under a fence.,,
2399,278463,http://images.cocodataset.org/val2017/000000278463.jpg,A cat sleeping on a desk next to an open laptop.,A view of a laptop sitting on a desk with clutter around it.,"A quite cluttered desk with a lap and many other office material, plus a cat. ",A laptop and planner sitting on a cluttered desk.,A wooden desk that is very cluttered with items.,,
2400,278705,http://images.cocodataset.org/val2017/000000278705.jpg,Two young men riding skateboards on a street next to a graffiti covered wall.,Two young men skate down an urban road.,This is an image through a window looking at two people on skateboards.,Skateboarders riding down the street on boards next to cars.,Two guys skateboarding down a graffiti lined street,,
2401,278749,http://images.cocodataset.org/val2017/000000278749.jpg,Black and white photo of a sidewalk with a person holding a Subway sign in the foreground.,Many people walk on a sidewalk as a man holds a restaurant sign.,A man holding a street sign giving directions on a city road,a man holds a sign advertising a deli ,a black and white photo of a person holding a sign,,
2402,278848,http://images.cocodataset.org/val2017/000000278848.jpg,People are waiting for the bus with umbrellas. ,A group of people standing outside of a bus.,People are standing in the rain alongside a bus.,a black and white picture of people walking in the rain under an umbrella,A bunch of people standing together with some umbrellas.,,
2403,278973,http://images.cocodataset.org/val2017/000000278973.jpg,A man starting to stand up on a surfboard in the ocean.,A man in a wet suit is surfing.,a man on a surfboard in the water at the beach,A man with long hair wearing a red suit surfing. ,a man that is on a surfboard in water,,
2404,279145,http://images.cocodataset.org/val2017/000000279145.jpg,A cat sits near a bench in a garden with many potted plants.,A wooden bench surrounded by potted plants in front of a house.,a wooden bench surrounded by some potted plants,A white cat sitting before a bench surrounded by plants in planters.,A cat in front of a wooden bench in a garden.,,
2405,279278,http://images.cocodataset.org/val2017/000000279278.jpg,a person riding a skate board on a city street,Three people stand on the street talking next to a dog.,Man in a crowd of people with a skateboard.,People standing on the street by parked bicycles with a skateboard,The man is riding his skateboard down the street. ,,
2406,279541,http://images.cocodataset.org/val2017/000000279541.jpg,A buffet with many pizzas lined up behind glass.,A display of different pizzas in a restaurant. ,A buffet display case filled with lots of pizzas on pans.,Several different kinds of pizzas displayed on a buffet line.,a bunch of pizzas are on display under a case,,
2407,279714,http://images.cocodataset.org/val2017/000000279714.jpg,A hand written sign is posted on an object outside,a car is parked next to a pole ,The picture of a pin has a huge bat in the background beside a building.,A baseball bat is in a window looking out over the street.,Closeup of a button in front of the Louisville Slugger factory in KY.,,
2408,279730,http://images.cocodataset.org/val2017/000000279730.jpg,Someone holding a hotdog in their hand ,sandwhich with everything on it and a coke,A sandwich is being eaten and sodas are on the table.,A person holding a sandwich next to a cup of coffee.,"The diners are enjoying their filled  beef sandwiches,",,
2409,279769,http://images.cocodataset.org/val2017/000000279769.jpg,A banana resting on a paper towel atop a wooden table.,A yellow ripe banana sitting on top of  a wooden table.,A peeled banana on a table next to an unpeeled banana.,a banana some papers and a pencil on a wooden table,Banana on a paper towel behind a banana shaped paper towel.,,
2410,279774,http://images.cocodataset.org/val2017/000000279774.jpg,The Little League batter is taking a swing at home plate.,"a little league baseball game in progress, player swinging the bat",A baseball player is getting ready to hit a ball.,Two young boys playing t-ball at ball park,a small baseball little league player is at bat,,
2411,279887,http://images.cocodataset.org/val2017/000000279887.jpg,view of a motorcycle sitting amongst others at a convention,A group of motorcycles are on display at a museum.,Many motorcycles are displayed in the store with descriptive signs posted near them. ,there are many different bikes that are on display,a motorcycle parked in doors near other vehicles ,,
2412,279927,http://images.cocodataset.org/val2017/000000279927.jpg,A large crowd is watching a group who are dressed in old swimming clothes.,PERFORMERS DOING A SHOW IN FRONT OF SPECTATORS,"The beach is filled with people, whom are expecting someone.",A large crowd gathered watching another smaller crowd,A group of people standing next to each other near a ground of people on a green patch fo grass.,,
2413,280325,http://images.cocodataset.org/val2017/000000280325.jpg,Graffiti is on the wall next to the parking meter,Graffiti decorates the wall in front of a parking meter.,Two rusty parking meters are displayed with graffiti in the background.,a old wall that has some writing on it,A parking meter in front of a wall that has been written on. ,,
2414,280710,http://images.cocodataset.org/val2017/000000280710.jpg,A few warmly dressed pedestrians walking across a public square.,A scene of a street.A bus for tourists is standing.,People walking on the sidewalk of a city with a tour bus in the background.,A group of people walking down a city street near a bus.,People crossing the street near a parked sightseeing bus.,,
2415,280779,http://images.cocodataset.org/val2017/000000280779.jpg,A person on cross country skis while it's snowing ,A person is walking in the snow on skis.,A man in a red jacket skiing during a snow fall.,A young man riding skis across a snow covered slope.,A cross country skier in the falling snow.,,
2416,280891,http://images.cocodataset.org/val2017/000000280891.jpg,A child with oranges and apples biting into one.,A young boy with his hands on his face near some fruit.,a person leaning on a bunch of oranges and apples,A boy wearing a green shirt posing with some fruit.,A woman standing next to a young man near a pile of fruit.,,
2417,280918,http://images.cocodataset.org/val2017/000000280918.jpg,two people standing next to an open oven with a turkey on a tray in it.,Two women are taking a turkey out of the oven.,Two beautiful young women baking a turkey in a pan..,Two woman poses while taking a turkey out of the oven.,Two ladies taking a turkey outside of an oven.,,
2418,280930,http://images.cocodataset.org/val2017/000000280930.jpg,A girl holding a tray of food by an oven ready to put it in.,there is a young girl putting food in to a oven,Little girl laughing and holding a pan of food ,Little girl holding up a sheet of uncooked rolls by oven. ,A little girl smiling as she is about to put something in the oven. ,,
2419,281032,http://images.cocodataset.org/val2017/000000281032.jpg,A man with his hair tied back prepares food. ,A person that is cooking some food in a kitchen.,An elderly person in a kitchen cooking food.,A man stirring something in a foil roasting pan.,A man prepares food in a restaurant kitchen.,,
2420,281179,http://images.cocodataset.org/val2017/000000281179.jpg,A bright city street with a stop light and a big Christmas tree.,A street at night time with many different lights. ,A rain covered terrain after a night of rain. ,A red traffic light at night next to a Christmas Tree.,An empty street at night with lots of lights in the background.,,
2421,281409,http://images.cocodataset.org/val2017/000000281409.jpg,A major league baseball player is swinging the bat to hit the ball.  ,A baseball player swings his bat while the umpire and referee wait behind him.,"The umpire, catcher, and batter as soon as the batter had swung.",Baseball game with batter swinging and large crowd in field,A man swinging a baseball bat as another looks on.,,
2422,281414,http://images.cocodataset.org/val2017/000000281414.jpg,A woman sits on a ledge and looks at her phone.,A girl is sitting on a brick wall using her cell phone.,A girl is sitting on a wall and looking down at her cell phone.,A beautiful woman sitting on a brick wall.,A woman with a book bag sits on a ledge with her cell phone.,,
2423,281447,http://images.cocodataset.org/val2017/000000281447.jpg,a blonde horse is standing in a field,Horse in fenced pasture with others grazing on grasses.,A tan horse with a blond mane inside of a coral.,a brown horse in the field gazing around,A horse standing in the dirt near a fence.,,
2424,281687,http://images.cocodataset.org/val2017/000000281687.jpg,The woman uses her cell phone near many others standing on the sidewalk.,a couple of women are talking on their cellphones,a lady talks on a cell phone as people walk by ,Woman talking on cell phone on sidewalk with pedestrians nearby.,A woman with a hand bag on a cell phone next to another woman.,,
2425,281693,http://images.cocodataset.org/val2017/000000281693.jpg,A 747 jumbo passenger jet airplane parked at an airport terminal.,a large air plane on a run way ,White plane with red and blue detailing sits on tarmac.,an airline with airplanes from one world parked on the air field,A large jet airplane being loaded with cargo at an airport.,,
2426,281754,http://images.cocodataset.org/val2017/000000281754.jpg,A beautiful young lady in short shorts sitting next to a little boy.,A young boy holds an umbrella for a girl.,A boy holding up an umbrella over a woman's head.,a child holding an umbrella with a person near him,a kid and a girl are next to each other,,
2427,281759,http://images.cocodataset.org/val2017/000000281759.jpg,"Five women walk down the street, holding umbrellas",A row of girls holding umbrellas pose for a picture.,Five ladies standing in the street with umbrellas.,Women in warm weather clothes with multi-colored parasols.,A group of young women holding umbrellas while walking down a street.,,
2428,281929,http://images.cocodataset.org/val2017/000000281929.jpg,A formally dressed man holding his bike. ,A man in a suit standing beside his bicycle. ,A man dressed in a suit standing next to his bicycle.,A man standing outside a building holding a bicycle. ,A man that is standing next to a bicycle in the grass.,,
2429,282037,http://images.cocodataset.org/val2017/000000282037.jpg,A baseball player pitching a ball on top of a field.,base ball players having a practice before the game,A full view of some baseball players in the field.,A man who is throwing a baseball to another man.,some baseball players on a field playing baseball,,
2430,282046,http://images.cocodataset.org/val2017/000000282046.jpg,A bench that is on the beach by the water.,A bench in the sand facing an empty beach.,A photo of a bench in the middle of the beach.,A bench sitting on the beach near the ocean.,An empty beach with a blue bench on it.,,
2431,282296,http://images.cocodataset.org/val2017/000000282296.jpg,An old refrigerator sitting in a room ,An old refrigerator stands against a wood-panelled wall,a kitchen with a refrigerator near a pair of shoes,"Old refrigerator in dark, messy store room with tiled floor.",A fridge stands in the corner of a room. ,,
2432,282298,http://images.cocodataset.org/val2017/000000282298.jpg,A group of people milling about inside a large space in the winter.,People walking and loitering around a train station clock and ticket machines,Many people at a convention inside of a large building ,a large crowd of people walking through town near a large clock display with a christmas tree in the background,A group of people walking across an airport.,,
2433,282912,http://images.cocodataset.org/val2017/000000282912.jpg,A close up of a giraffes neck and face.,A giraffe next to a stone fence staring off into the distance.,a giraffe standing in a pen next to a tree trunk.,A giraffe is standing near a rock with green bushes in the background.,A adult giraffe walking alone in a field,,
2434,283037,http://images.cocodataset.org/val2017/000000283037.jpg,Street signs are displayed next to a road.,A speed detector displays the current speed of a car,Some cars speeding buy a sign that says 55.,A stoplight with a speed radar on top.,A car is waiting at a red stop light at night.,,
2435,283038,http://images.cocodataset.org/val2017/000000283038.jpg,A large red stop sign on a street.,a old rusty stop sign out sign some buildings.,A stop sign with dirty edges at a cross walk of a street.,A red stop sign sitting on top of a green planter.,A large stop sign is set against city buildings.,,
2436,283070,http://images.cocodataset.org/val2017/000000283070.jpg,"An orange is shown whole, halved, and sliced.","One naval orange is whole, another cut in half and three orange pieces on the right.",some oranges that are sitting on some wood,One whole orange joins one sliced orange on a wooden surface.,The fresh oranges are cut up on the table outside.,,
2437,283113,http://images.cocodataset.org/val2017/000000283113.jpg,A plate of hot dog on a table with a glass,A couple of hot dogs on a paper plate.,"A hot dog is smothered with bacon, onions, and mustard.",The two hot dogs on the plate are ready to be eaten. ,A hot dog in a bun is topped with mustard.,,
2438,283268,http://images.cocodataset.org/val2017/000000283268.jpg,Parent serving a plastic hot dog in a bun to their child during play,A person holds a plastic hot dog in a plastic bun.,A white plate topped with a toy hot dog in a toy bun.,"Plastic toy hot dog and bun, on plastic plate.",A child plays with a toy picnic set including a plastic hotdog.,,
2439,283318,http://images.cocodataset.org/val2017/000000283318.jpg,There is a sign showing a street running one direction,A fire hydrant and some cars on the side of the street.,There is a street sign on the corner by a building. ,An open book store on a street corner.,A store on the corner with an American flag flying from it's side.,,
2440,283412,http://images.cocodataset.org/val2017/000000283412.jpg,A white dog sitting on a table next to a paper.,A dog sitting on a table next to a newspaper and a cup.,a white dog sitting on a table next to a newspaper and a cup.,A little poodle puppy laying near a newspaper with a look of guilt.,a close up of a dog next to a news paper on a table,,
2441,283520,http://images.cocodataset.org/val2017/000000283520.jpg,Two guys in the woods playing with a disc.,Two men play around on a nature trail.,Two men stand in the woods as one of them throws a Frisbee.,Two people standing in front of some trees.,A man throwing a frisbee on a course as another looks on.,,
2442,283717,http://images.cocodataset.org/val2017/000000283717.jpg,A microwave sitting on top of a wooden shelf.,THERE IS A MICROWAVE  THAT IS ON THE DESK TOP ,a microwave on a small table with a device on top of it,A kitchen counter with a microwave and a toaster oven on a shelf ,there is a black microwave that is on top of a wooden table,,
2443,283785,http://images.cocodataset.org/val2017/000000283785.jpg,In a library children look on as costumed characters give a presentation,A man reads a story to a group of children.  ,A man is wearing a costume and speaking to children.,Two men dressed as animals entertaining a group of children.,A man dressed as an animal reading to adults and children in a library,,
2444,284106,http://images.cocodataset.org/val2017/000000284106.jpg,"A plate of food, and a bowl of white rice",A very nice looking tray filled with some tasty looking food.,A play of food next to a bowl of rice and chopsticks. ,A plate of chicken and vegetables sits next to a bowl of rice. ,"A plate of food, rice bowl, and a soup bowl is on a tray.",,
2445,284279,http://images.cocodataset.org/val2017/000000284279.jpg,A humming bird standing on top of a green feeder.,A small bird contemplates how to get some seeds.,The bird is standing on the rim of the bird feeder.,A small bird resting and eating from a bird feeder.,a small bird on a bird feeder ,,
2446,284282,http://images.cocodataset.org/val2017/000000284282.jpg,A blender is sitting next to a printer.,A GREEN TABLE WITH A OLD RUSTY BLENDER AND A PRINTER ,A blender laying on a table in a room.,An old blender is sitting next to a printer.,An old blender and printer sitting on a table.,,
2447,284296,http://images.cocodataset.org/val2017/000000284296.jpg,Three giraffe drinking from a pond with brush in back.,Three giraffe's leaning over to get a sip of water.,an image of a herd of giraffes in the water,Giraffes leaning down to drink at a watering hole,three giraffes banding down to drink water with trees in the background,,
2448,284445,http://images.cocodataset.org/val2017/000000284445.jpg,A group of people crossing a street next to a bend traffic light.,A light post leans towards a crowd on a busy city street.,Pedestrians walking on a sidewalk by a badly tipped traffic light,a number of people walking on a side walk,A very crowded sidewalk with a crooked light pole.,,
2449,284623,http://images.cocodataset.org/val2017/000000284623.jpg,A black cat sitting on top of a bathroom sink.,A black cat looking intently at the camera,A black cat sitting inside a bathroom sink,A black cat sits in a bathroom sink.,Black cat with green eyes sitting in a bathroom sink. ,,
2450,284698,http://images.cocodataset.org/val2017/000000284698.jpg,A man taking a picture of himself in the rear view mirror.,a guy inside a car taking a picture through the mirror in a remote area,The image of a man holding a camera is in this motorcycle side mirror. ,A man taking a picture in a side car mirror with his cell phone.,A man taking a picture of his reflection in a motorcycle mirror.,,
2451,284725,http://images.cocodataset.org/val2017/000000284725.jpg,A bus in China is parked along a curb. ,A red bus parked on a street with another vehicle parked nearby.,a public transit bus on a city street,Red bus parked on street near stone steps.,A red bus sitting on the side of a road.,,
2452,284743,http://images.cocodataset.org/val2017/000000284743.jpg,a woman being photographed holding a baseball bat,a close up of a person holding a bat in the dark,A woman holding a baseball bat having her photo taken,A group of people staring at a woman holding a bat.,A girl being photographed holding a baseball bat.,,
2453,284762,http://images.cocodataset.org/val2017/000000284762.jpg,A red arrow light at a city street intersection,A traffic light sitting next to a street sign.,A signal light glows red by the street sign. ,Stop light in a city next to a street sign on during the day. ,A traffic light near a street sign is red.,,
2454,284764,http://images.cocodataset.org/val2017/000000284764.jpg,Man sitting at a table holding eating utensils in his hands over his food. ,A man cutting up his meal before consumption.,A man picking up soup in a bowl with two utensils.,A gentleman wearing a radio eating a plate of food.,A man eats from a green dish while holding a handheld radio.,,
2455,284991,http://images.cocodataset.org/val2017/000000284991.jpg,A man drinking a beverage from a red bottle.,A man is drinking water from a red bottle.,A man drinking something from a red bottle,A man has a red water bottle up to his mouth.,A man puts a red bottle up to his mouth.,,
2456,285047,http://images.cocodataset.org/val2017/000000285047.jpg,A man sitting texting while having a drink,A man sitting at a table viewing a mobile device.,A person sitting at table with a cup looking at a cell phone.,A man with a cup of coffee and a cell phone.,A young man checking his phone while enjoying a cup of tea.,,
2457,285349,http://images.cocodataset.org/val2017/000000285349.jpg,A clear heart shaped jar filled with many colors of paper cranes.,A heart shaped glass jar with origami birds in it.,"A heart shaped, glass container filled with origami birds.",Multiple colors of origami birds in a heat shaped vase.  ,A glass hart shaped sculpture sitting on top of orgasmic birds.,,
2458,285788,http://images.cocodataset.org/val2017/000000285788.jpg,An ostrich has come to see the giraffe.,Two giraffes and an ostrich at a zoo enclosure habitat.,a couple of giraffes are standing by the rocks,Two giraffe's by large rocks with and ostrich. ,Two giraffes that are standing in the grass.,,
2459,285894,http://images.cocodataset.org/val2017/000000285894.jpg,Some children look at two giraffes in an enclosure. ,A small crowd of children standing around a giraffe at a zoo.,A group of children looking at two giraffes in an enclosure.,Children looking at a zoo giraffe and its baby ,A giraffe has come to a fence line to greet visitors.,,
2460,286182,http://images.cocodataset.org/val2017/000000286182.jpg,A man sitting in a chair across from a table topped with food.,a man sitting in a room with a food on a table,there is a man that is sitting at a table with lots of food,A man sitting near a table with a bunch of food on it,A man sitting by a table with food in bowls and pans ,,
2461,286422,http://images.cocodataset.org/val2017/000000286422.jpg,Couple on sailboat with dog on open waters.,Two people and a dog are on a sailboat.,A sailboat in a river with people and a dog on it. ,Two people and a dog on a sail boat with the mast down.,People and a dog are on a sail boat on a lake.,,
2462,286458,http://images.cocodataset.org/val2017/000000286458.jpg,Luggage on the floor opened to show it's stuffed contents,Two images of open suitecases full of toiletries. ,Opened suitcase displaying many different items in plastic bags.,A briefcase sitting on top of a bed with lots of items in them.,an open luggage bag on the ground next to a back pack,,
2463,286503,http://images.cocodataset.org/val2017/000000286503.jpg,An elephant playing with a sack handing from a concrete structure.,an elephan standing around next to some people ,An elephant reaching for a ball hanging above it.,An elephant eating something from a hanging net.,An elephant standing next to a stone in a cage.,,
2464,286507,http://images.cocodataset.org/val2017/000000286507.jpg,three red and black train engines and its cars and snow,A train is coming down the tracks on a snowy day,A train drives down its tracks next to a snow bank,A long red train traveling through snow covered country side.,a train in a rural area covered with heavy snow,,
2465,286523,http://images.cocodataset.org/val2017/000000286523.jpg,A man talking on his cell phone with his other hand in his ear.,The man in a red hat is listening on his cell phone. , a man talking on a cell phone outside of a fast food place,The man is listening on his cell phone,A man on a cellphone sticking his finger in his ear.,,
2466,286553,http://images.cocodataset.org/val2017/000000286553.jpg,a couple sitting at a table with a couple of pizzas ,two people sitting at a table posing for a photo,A copse of men sitting next to each other at a table.,A man and woman posing for a photo with pizza on the table they are sitting at.,Two people sitting at a table with two pizzas.,,
2467,286660,http://images.cocodataset.org/val2017/000000286660.jpg,A woman holds a stuffed animal to her face.,An old teddy bear is wearing vampire teeth being held by a temptress.,A young woman smiles with her stuffed teddy bear.,A girl holding a stuffed teddy bear that has large teeth to her face.,A young woman is hugging a weird teddy bear.,,
